20-10 15:34:10;17;Number K | The Professionals;61.39;82.42;https://buff.market/market/goods/17;https://steamcommunity.com/market/listings/730/Number%20K%20%7C%20The%20Professionals;Agent
20-10 15:34:10;25;Sir Bloody Loudmouth Darryl | The Professionals;93.98;130.01;https://buff.market/market/goods/25;https://steamcommunity.com/market/listings/730/Sir%20Bloody%20Loudmouth%20Darryl%20%7C%20The%20Professionals;Agent
20-10 15:34:10;15413;Dragomir | Sabre Footsoldier;5.9;8.31;https://buff.market/market/goods/15413;https://steamcommunity.com/market/listings/730/Dragomir%20%7C%20Sabre%20Footsoldier;Agent
20-10 15:34:10;19898;Vypa Sista of the Revolution | Guerrilla Warfare;49.49;49.33;https://buff.market/market/goods/19898;https://steamcommunity.com/market/listings/730/Vypa%20Sista%20of%20the%20Revolution%20%7C%20Guerrilla%20Warfare;Agent
20-10 15:34:10;20085;Officer Jacques Beltram | Gendarmerie Nationale;12.0;13.91;https://buff.market/market/goods/20085;https://steamcommunity.com/market/listings/730/Officer%20Jacques%20Beltram%20%7C%20Gendarmerie%20Nationale;Agent
20-10 15:34:10;19909;'Medium Rare' Crasswater | Guerrilla Warfare;19.0;30.4;https://buff.market/market/goods/19909;https://steamcommunity.com/market/listings/730/%27Medium%20Rare%27%20Crasswater%20%7C%20Guerrilla%20Warfare;Agent
20-10 15:34:10;15375;3rd Commando Company | KSK;8.08;12.65;https://buff.market/market/goods/15375;https://steamcommunity.com/market/listings/730/3rd%20Commando%20Company%20%7C%20KSK;Agent
20-10 15:34:10;15346;Rezan the Redshirt | Sabre;8.52;10.85;https://buff.market/market/goods/15346;https://steamcommunity.com/market/listings/730/Rezan%20the%20Redshirt%20%7C%20Sabre;Agent
20-10 15:34:10;15328;Blackwolf | Sabre;5.94;8.46;https://buff.market/market/goods/15328;https://steamcommunity.com/market/listings/730/Blackwolf%20%7C%20Sabre;Agent
20-10 15:34:10;20324;Lieutenant 'Tree Hugger' Farlow | SWAT;8.7;12.37;https://buff.market/market/goods/20324;https://steamcommunity.com/market/listings/730/Lieutenant%20%27Tree%20Hugger%27%20Farlow%20%7C%20SWAT;Agent
20-10 15:34:10;15139;'Two Times' McCoy | TACP Cavalry;5.44;7.48;https://buff.market/market/goods/15139;https://steamcommunity.com/market/listings/730/%27Two%20Times%27%20McCoy%20%7C%20TACP%20Cavalry;Agent
