,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
193409,-0.23,-1.52,0.01,1.82,0.12,-1.2,0.06
193410,-1.66,1.24,0.01,-0.15,-4.08,-5.08,6.9
193411,8.33,6.48,0.01,2.21,2.53,-2.15,3.83
193412,0.36,3.06,0.01,-2.5,-1.9,-3.14,4.73
193501,-3.45,1.07,0.01,2.72,-2.4,-1.9,3.72
193502,-1.94,0.37,0.02,-2.85,-8.53,-7.44,13.92
193503,-3.68,-3.59,0.01,-2.24,-0.37,-5.12,2.49
193504,9.06,-1.47,0.01,2.82,5.51,4.47,-4.64
193505,3.47,-3.34,0.01,3.85,2.08,2.65,-3.62
193506,5.93,-2.57,0.01,2.59,0.18,-1.69,2.35
193507,7.51,1.88,0.01,-0.85,9.99,6.93,-4.06
193508,2.65,6.2,0.01,-3.71,10.4,6.08,-7.17
193509,2.63,1.53,0.01,-0.53,-0.09,-4.07,8.95
193510,7.03,2.72,0.01,1.5,5.57,-2.37,1.87
193511,4.88,4.54,0.02,5.6,7.71,12.06,-6.27
193512,4.56,0.17,0.01,-3.16,1.13,0.95,3.78
193601,6.89,5.23,0.01,-1.34,12.38,10.34,-3.33
193602,2.49,0.95,0.01,1.87,1.75,4.51,2.45
193603,0.99,0.69,0.02,1.73,-1.45,-1.44,1.82
193604,-8.14,-6.06,0.02,-0.72,-6.77,-2.15,-7.65
193605,5.19,0.91,0.02,3.35,3.21,2.61,2.47
193606,2.4,-3.2,0.03,1.27,-2.49,-1.2,0.38
193607,6.67,1,0.01,2.71,4.55,2.4,2.85
193608,0.99,0.6,0.02,-0.37,2.56,3.82,0.65
193609,0.98,3.08,0.01,1.21,-0.99,0.9,1.24
193610,7.12,-2.43,0.02,0.38,1.6,2.47,1
193611,3.27,8.77,0.01,-2.18,-2.31,-1.21,1.97
193612,0.21,3.96,0,-3.21,3.38,4.3,2.01
193701,3.35,4.34,0.01,-2.25,1.07,2.61,-1.9
193702,1.09,1.05,0.02,2.37,-0.15,4.83,3.17
193703,-0.27,-1.69,0.01,-2.86,-1.82,6.5,2.7
193704,-7.36,-3.83,0.03,1.59,-0.25,-3.66,-3.71
193705,-0.83,-0.68,0.06,0.02,-2.73,-3.48,0.58
193706,-4.21,-3.76,0.03,-2.15,0.76,-3.33,0.74
193707,8.91,0.89,0.03,6.59,-1.23,0.81,-0.55
193708,-4.86,0.44,0.02,4.1,-2.24,-2.25,-1.85
193709,-13.61,-6.98,0.04,-6.24,-3.55,-4.57,-7.01
193710,-9.61,0.41,0.02,-3.67,2.44,-1.55,-1.6
193711,-8.31,-3.6,0.02,-1.63,2.76,0.15,-1.23
193712,-4.24,-7.74,0,-3.14,1.33,-0.4,4.67
193801,0.49,4.84,0,6.68,-0.45,-1.61,-1.61
193802,5.84,0.4,0,4.47,-3.7,-2.02,-2.91
193803,-23.82,-4.34,-0.01,8.36,7.94,-3.54,15.55
