
2024-11-12 17:59:55.282318,rui_ferreira_89,130,Win
2024-11-12 17:59:55.956613,tonyvsc16,25,Lose
2024-11-12 18:00:01.707930,shinchantuga,1425,Lose
2024-11-12 18:00:55.929081,kenninzas,3075,Win
2024-11-12 18:00:58.312432,Magitek_PT,500,Win
2024-11-12 18:01:19.217016,chimpanze88,175,Win
2024-11-12 18:01:20.902376,ZMCttv,1000,Win
2024-11-12 18:01:43.498141,airtonrebelotn11,490,Lose
2024-11-12 18:01:51.415118,marinheiro812,30,Win
2024-11-12 18:02:03.809344,carvalhalcity,300,Lose
2024-11-12 18:02:17.772699,V1uvaNegra,200,Lose
2024-11-12 18:02:23.797242,manoquico,135,Lose
2024-11-12 18:02:30.470561,kazocas,665,Lose
2024-11-12 18:02:48.588552,neves_j,1000,Win
2024-11-12 18:03:10.993600,Joao21Silva,150,Win
2024-11-12 18:03:21.476260,lebzera_,350,Win
2024-11-12 18:03:23.038707,P4kistaN,400,Lose
2024-11-12 18:03:34.442753,matrix1830,1433,Lose
2024-11-12 18:03:39.899702,pedrocarvalho_07,300,Win
2024-11-12 18:03:52.151182,Bets closed
2024-11-12 18:34:18.772711,riskasolendas,5,Win
2024-11-12 18:34:29.328234,muttew,140,Win
2024-11-12 18:34:31.574627,dmAf2s,750,Lose
2024-11-12 18:34:35.639399,kenninzas,45,Win
2024-11-12 18:34:38.577312,hopzzy_,15,Lose
2024-11-12 18:34:47.424621,camile2024,5000,Win
2024-11-12 18:34:57.190986,matrix1830,2310,Lose
2024-11-12 18:35:05.904662,tonyvsc16,90,Lose
2024-11-12 18:35:08.550179,ruben_silva25,149,Win
2024-11-12 18:35:14.964393,Estronclides,355,Win
2024-11-12 18:35:31.460471,its_only_a_prank_bro,105,Win
2024-11-12 18:35:32.533417,lKAORIl,60,Win
2024-11-12 18:36:23.176801,ZMCttv,2000,Lose
2024-11-12 18:36:45.412169,andrefilipe24,880,Win
2024-11-12 18:37:03.678373,JustSengo,130,Win
2024-11-12 18:38:03.578783,jjcc152,200,Win
2024-11-12 18:38:28.432578,New bet
2024-11-12 18:38:32.541196,camile2024,5000,Win
2024-11-12 18:38:52.459574,JustSengo,130,Win
2024-11-12 18:39:09.256444,vallets18,235,Win
2024-11-12 18:39:16.600573,matrix1830,2325,Lose
